今天 16:22,《星际争霸II》八周年庆！为了庆祝《星际争霸II》的八周年，我们会为所有在庆典期间完成1场比赛的玩家赠送一个美味的蛋糕头像。《星际争霸II》需要大量的脑力，因此在攀爬天梯的时候别忘了品尝这美好的甜蜜哦。游戏中的工人也会一起加入庆典，活动将持续到7月31日。详情：O网页链接
今天 14:20,2018ChinaJoy即将临近，暴雪第六届COSPLAY大赛也在如火如荼的筹备中。在今年暴雪主舞台上，我们特意邀请了@163_Tyrant 以COS的形象闪亮登场，将与你们在现场倾情互动！你最想要看到他COS哪位角色呢？快来通过投票告诉我们吧！R你最希望看到JBR COS哪位角色？
7月23日 14:25,"《星际争霸II》本周#突变任务#：“雷鸣弹啸”。
机会渺茫
突变因子：
极性不定；扫雷专家

本周依然给大家分享@夏遇初临 带来的残酷难度攻略，希望能帮到大家。视频请戳：L7月23日0精通残酷突变攻略 星际争霸2合作任务"
7月21日 12:42,#暴雪游戏铁人五项#今晚大哥要登场了！
7月20日 17:06,"今天18点。继续来看KSL韩国职业联赛！在昨天的比赛中A组Mini 3:0击败Last；Rain 3:0击败Movie。今天让我们继续关注世界顶尖玩家在《星际争霸：重制版》中的精彩角逐！直播请戳：O网页链接 昨日赛事回放：LKSL-S1 DAY1 7.19
或通过斗鱼：696178 ；熊猫：1631632 ； 虎牙：1735597169 ； 战 ...展开全文c"
7月20日 10:28,今天这个对阵，就问小色怎么输！
7月19日 17:00,"今天18点。一起来看KSL韩国职业联赛！世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。直播请戳：O网页链接

斗鱼：525207 ；熊猫：1631631 ； 虎牙：1584989003 ； 战旗：16301  ...展开全文c"
7月19日 11:07,#我与星际争霸#微博有奖征文活动已经结束，我们收到了很多热心玩家们的投稿，感谢大家对《星际争霸》系列的热爱。经过评委团的讨论和评选，最终获奖结果名单如下： °#我与星际争霸#征文活动中奖公示
7月17日 14:09,7月19日-9月8日每周四、周五。一起来看KSL韩国职业联赛！随着《星际争霸：重制版》的发布，世界顶尖《星际争霸》玩家将会在《星际争霸：重制版》韩国职业联赛（KSL）中展开精彩的对抗。各大直播平台暴雪游戏频道将会带来本次比赛的转播，欢迎届时收看。详情：O网页链接
7月17日 11:18,第二期会扩大到全部的暴雪游戏哦~不来试试吗？
